Dyad_ID,partnum,gender_A,gender_AF,self_object_A,other_object_A,relation_sat_A,self_object_P,other_object_P,relation_sat_P
29358468,1,-1,woman,-3.4,-3.4,7.2,-3.4,0.199999999999999,8.4
29358468,2,1,man,-3.4,0.199999999999999,8.4,-3.4,-3.4,7.2
29398891,1,1,man,-3,1.4,8.6,0.6,2.6,8.7
29398891,2,-1,woman,0.6,2.6,8.7,-3,1.4,8.6
29434095,1,-1,woman,0.199999999999999,-0.6,NA,1,-2.2,NA
29434095,2,1,man,1,-2.2,NA,0.199999999999999,-0.6,NA
29447526,1,1,man,-2.6,-0.6,8,-1.8,0.6,8.2
29447526,2,-1,woman,-1.8,0.6,8.2,-2.6,-0.6,8
29457967,1,-1,woman,-0.6,-3.4,5.8,-0.6,-4.2,7.9
29457967,2,1,man,-0.6,-4.2,7.9,-0.6,-3.4,5.8
29459354,1,-1,woman,-5,-5,NA,-3.4,-5,8
29459354,2,1,man,-3.4,-5,8,-5,-5,NA
29469928,1,-1,woman,-2.2,-2.2,8.6,-4.6,-3.4,8.4
29469928,2,1,man,-4.6,-3.4,8.4,-2.2,-2.2,8.6
29472035,1,-1,woman,2.2,1.4,6.2,1.4,2.2,5.7
29472035,2,1,man,1.4,2.2,5.7,2.2,1.4,6.2
29486374,1,-1,woman,-3,-3.4,6.3,NA,-0.6,6.4
29486374,2,1,man,NA,-0.6,6.4,-3,-3.4,6.3
29493026,1,-1,woman,1,-2.2,7.9,-2.6,-0.6,7.5
29493026,2,1,man,-2.6,-0.6,7.5,1,-2.2,7.9
29508533,1,-1,woman,-1,2.6,5.5,-1,0.6,NA
29508533,2,1,man,-1,0.6,NA,-1,2.6,5.5
29526900,1,-1,woman,-3.4,-3,8.5,-3.4,-3,8.6
29526900,2,1,man,-3.4,-3,8.6,-3.4,-3,8.5
29532872,1,-1,woman,3,2.2,7.4,0.6,0.6,9
29532872,2,1,man,0.6,0.6,9,3,2.2,7.4
29536578,1,-1,woman,-3.4,-2.6,3.5,-3.8,0.199999999999999,5.1
29536578,2,1,man,-3.8,0.199999999999999,5.1,-3.4,-2.6,3.5
29559028,1,-1,woman,0.6,0.199999999999999,6.6,1,1.4,6.3
29559028,2,1,man,1,1.4,6.3,0.6,0.199999999999999,6.6
29577345,1,-1,woman,-1,-3.4,8.4,-1,0.6,8.6
29577345,2,1,man,-1,0.6,8.6,-1,-3.4,8.4
29579556,1,-1,woman,3.4,-1,8.4,-1.4,-0.6,8.6
29579556,2,1,man,-1.4,-0.6,8.6,3.4,-1,8.4
29597452,1,-1,woman,3,-1.4,8,3,5,8.1
29597452,2,1,man,3,5,8.1,3,-1.4,8
29601472,1,-1,woman,-1.4,-4.6,8.8,-5,1,8.6
29601472,2,1,man,-5,1,8.6,-1.4,-4.6,8.8
29622262,1,-1,woman,0.199999999999999,1.4,9,0.6,0.6,9
29622262,2,1,man,0.6,0.6,9,0.199999999999999,1.4,9
29636672,1,-1,woman,-0.199999999999999,-3,8.1,-3,-3,8.3
29636672,2,1,man,-3,-3,8.3,-0.199999999999999,-3,8.1
29647555,1,-1,woman,-3.8,-3,2.9,-5,-2.2,4.1
29647555,2,1,man,-5,-2.2,4.1,-3.8,-3,2.9
29648648,1,-1,woman,2.2,-1.4,5,2.6,0.6,5.1
29648648,2,1,man,2.6,0.6,5.1,2.2,-1.4,5
29650679,1,-1,woman,0.199999999999999,-0.199999999999999,8.2,0.199999999999999,1.4,8.2
29650679,2,1,man,0.199999999999999,1.4,8.2,0.199999999999999,-0.199999999999999,8.2
29655905,1,-1,woman,-0.199999999999999,-1.4,8.8,0.199999999999999,0.199999999999999,8.4
29655905,2,1,man,0.199999999999999,0.199999999999999,8.4,-0.199999999999999,-1.4,8.8
29670187,1,-1,woman,-2.6,1.4,8.4,2.6,-1.8,9
29670187,2,1,man,2.6,-1.8,9,-2.6,1.4,8.4
29675494,1,1,man,-2.6,-2.6,6.1,-4.6,-5,6.4
29675494,2,-1,woman,-4.6,-5,6.4,-2.6,-2.6,6.1
29676367,1,-1,woman,1,-0.199999999999999,8.6,0.199999999999999,3,8.6
29676367,2,1,man,0.199999999999999,3,8.6,1,-0.199999999999999,8.6
29679706,1,1,man,-0.199999999999999,1.8,1.7,-2.6,-2.6,1
29679706,2,-1,woman,-2.6,-2.6,1,-0.199999999999999,1.8,1.7
29711478,1,1,man,-2.6,-0.6,8,-1.8,0.199999999999999,8.1
29711478,2,-1,woman,-1.8,0.199999999999999,8.1,-2.6,-0.6,8
29725014,1,-1,woman,1.4,-4.2,8.2,1.4,-2.2,7.8
29725014,2,1,man,1.4,-2.2,7.8,1.4,-4.2,8.2
29725200,1,1,man,-0.199999999999999,0.199999999999999,7.2,-2.2,-2.2,5
29725200,2,-1,woman,-2.2,-2.2,5,-0.199999999999999,0.199999999999999,7.2
29727375,1,-1,woman,1,-0.6,7.2,-1.4,-2.2,7.9
29727375,2,1,man,-1.4,-2.2,7.9,1,-0.6,7.2
29733249,1,-1,woman,-2.2,-2.6,6.7,-2.2,0.199999999999999,6.6
29733249,2,1,man,-2.2,0.199999999999999,6.6,-2.2,-2.6,6.7
29733973,1,1,man,-5,0.6,6.5,-0.6,-3.8,7.9
29733973,2,-1,woman,-0.6,-3.8,7.9,-5,0.6,6.5
29736251,1,1,man,-0.199999999999999,-0.6,5.8,1,-1,7
29736251,2,-1,woman,1,-1,7,-0.199999999999999,-0.6,5.8
29751672,1,-1,woman,-3,1,6.8,-1.8,-1,NA
29751672,2,1,man,-1.8,-1,NA,-3,1,6.8
29752580,1,-1,woman,-3.4,3.8,5.8,0.199999999999999,-2.6,7
29752580,2,1,man,0.199999999999999,-2.6,7,-3.4,3.8,5.8
29758869,1,-1,woman,-3,-3,8.2,-2.6,-0.199999999999999,7.9
29758869,2,1,man,-2.6,-0.199999999999999,7.9,-3,-3,8.2
29759818,1,-1,woman,0.6,-2.6,7,-2.2,1.4,7.8
29759818,2,1,man,-2.2,1.4,7.8,0.6,-2.6,7
29775425,1,1,man,2.6,3.8,7.1,-1,-2.2,6.9
29775425,2,-1,woman,-1,-2.2,6.9,2.6,3.8,7.1
29778230,1,-1,woman,-3,-3.4,8.1,-3.8,1.4,8.4
29778230,2,1,man,-3.8,1.4,8.4,-3,-3.4,8.1
29779946,1,-1,woman,-1.8,-1,8.8,-3.4,0.6,8.5
29779946,2,1,man,-3.4,0.6,8.5,-1.8,-1,8.8
29793807,1,-1,woman,-1.4,0.199999999999999,8.8,-2.2,-0.199999999999999,NA
29793807,2,1,man,-2.2,-0.199999999999999,NA,-1.4,0.199999999999999,8.8
29795327,1,-1,woman,-2.2,0.6,6,-3.4,-1,8.1
29795327,2,1,man,-3.4,-1,8.1,-2.2,0.6,6
29802428,1,-1,woman,0.6,-3,8.9,-4.6,-3.4,9
29802428,2,1,man,-4.6,-3.4,9,0.6,-3,8.9
29811081,1,1,man,3,2.6,9,1.4,5,9
29811081,2,-1,woman,1.4,5,9,3,2.6,9
31142588,1,1,man,-1,1.8,9,-4.2,-1,9
31142588,2,-1,woman,-4.2,-1,9,-1,1.8,9
31232445,1,-1,woman,-0.6,0.6,8.2,-1.4,-1.8,1.4
31232445,2,1,man,-1.4,-1.8,1.4,-0.6,0.6,8.2
31256405,1,1,man,-1.8,-0.6,5.8,-3.4,-3.8,3.6
31256405,2,-1,woman,-3.4,-3.8,3.6,-1.8,-0.6,5.8
31423023,1,1,man,-1.8,0.6,8.1,-0.199999999999999,-1.4,8.6
31423023,2,-1,woman,-0.199999999999999,-1.4,8.6,-1.8,0.6,8.1
31455950,1,-1,woman,-4.6,-1.4,8.8,-0.199999999999999,1,8.8
31455950,2,1,man,-0.199999999999999,1,8.8,-4.6,-1.4,8.8
31471311,1,-1,woman,-3.4,-1,6.7,2.2,0.6,7
31471311,2,1,man,2.2,0.6,7,-3.4,-1,6.7
31635308,1,-1,woman,1,0.6,8.6,-1.8,0.199999999999999,9
31635308,2,1,man,-1.8,0.199999999999999,9,1,0.6,8.6
31764329,1,1,man,1.8,-1,6.8,-1,-1.4,NA
31764329,2,-1,woman,-1,-1.4,NA,1.8,-1,6.8
31822775,1,-1,woman,2.2,NA,6.1,NA,0.6,7.8
31822775,2,1,man,NA,0.6,7.8,2.2,NA,6.1
31848482,1,-1,woman,-1.8,-0.199999999999999,7.5,1.4,-1.4,7.2
31848482,2,1,man,1.4,-1.4,7.2,-1.8,-0.199999999999999,7.5
31904581,1,-1,woman,-0.6,-1.8,7.5,-0.199999999999999,-1.8,7.4
31904581,2,1,man,-0.199999999999999,-1.8,7.4,-0.6,-1.8,7.5
32021977,1,1,man,0.199999999999999,-0.6,7.9,-3,NA,8.7
32021977,2,-1,woman,-3,NA,8.7,0.199999999999999,-0.6,7.9
32048295,1,-1,woman,5,-1.8,NA,-3.4,-0.6,7
32048295,2,1,man,-3.4,-0.6,7,5,-1.8,NA
32134573,1,-1,woman,-0.199999999999999,2.2,8,-1.8,0.199999999999999,8.4
32134573,2,1,man,-1.8,0.199999999999999,8.4,-0.199999999999999,2.2,8
32166157,1,-1,woman,-4.2,-2.6,8.2,-2.6,3.4,7.8
32166157,2,1,man,-2.6,3.4,7.8,-4.2,-2.6,8.2
32585631,1,1,man,-4.6,0.6,8.5,NA,NA,8.3
32585631,2,-1,woman,NA,NA,8.3,-4.6,0.6,8.5
32837451,1,-1,woman,-0.199999999999999,2.2,8.1,1.4,-2.6,8.4
32837451,2,1,man,1.4,-2.6,8.4,-0.199999999999999,2.2,8.1
32893460,1,-1,woman,-5,-3.8,2.2,2.2,-4.2,1.6
32893460,2,1,man,2.2,-4.2,1.6,-5,-3.8,2.2
32939460,1,-1,woman,1.8,-3.4,8.7,-0.6,0.6,8.7
32939460,2,1,man,-0.6,0.6,8.7,1.8,-3.4,8.7
32997534,1,-1,woman,-5,-4.2,6.1,-0.6,1,2.9
32997534,2,1,man,-0.6,1,2.9,-5,-4.2,6.1
33046177,1,-1,woman,-3,-3.4,9,0.199999999999999,-0.199999999999999,8.7
33046177,2,1,man,0.199999999999999,-0.199999999999999,8.7,-3,-3.4,9
33094797,1,1,man,NA,NA,6.3,NA,NA,6.9
33094797,2,-1,woman,NA,NA,6.9,NA,NA,6.3
33170169,1,1,man,-1.8,1,7.7,-1.4,NA,8.2
33170169,2,-1,woman,-1.4,NA,8.2,-1.8,1,7.7
33257597,1,-1,woman,1.4,-3.4,5.5,0.6,-0.199999999999999,6.7
33257597,2,1,man,0.6,-0.199999999999999,6.7,1.4,-3.4,5.5
33275392,1,-1,woman,-0.6,-2.2,8.3,-0.6,-0.199999999999999,8.7
33275392,2,1,man,-0.6,-0.199999999999999,8.7,-0.6,-2.2,8.3
33303114,1,-1,woman,-1.4,-1.4,4.9,-0.199999999999999,3.8,5.9
33303114,2,1,man,-0.199999999999999,3.8,5.9,-1.4,-1.4,4.9
33315985,1,-1,woman,-5,-3.4,7.3,-4.6,-4.2,8.1
33315985,2,1,man,-4.6,-4.2,8.1,-5,-3.4,7.3
33548752,1,-1,woman,-2.2,0.6,6.8,-1,0.6,7.8
33548752,2,1,man,-1,0.6,7.8,-2.2,0.6,6.8
33559952,1,1,man,0.199999999999999,0.6,7.8,2.6,-1,7.4
33559952,2,-1,woman,2.6,-1,7.4,0.199999999999999,0.6,7.8
33642604,1,-1,woman,1.4,-2.6,7.7,-1.4,3.4,7.4
33642604,2,1,man,-1.4,3.4,7.4,1.4,-2.6,7.7
33666277,1,1,man,1.4,3.4,7,-3.4,1,8.6
33666277,2,-1,woman,-3.4,1,8.6,1.4,3.4,7
33672471,1,-1,woman,-1,-1,7.9,-1,NA,NA
33672471,2,1,man,-1,NA,NA,-1,-1,7.9
33676931,1,-1,woman,-4.2,-5,8.3,-4.2,-4.2,8.1
33676931,2,1,man,-4.2,-4.2,8.1,-4.2,-5,8.3
33701176,1,1,man,-1,1,8.2,-1.4,0.199999999999999,5.8
33701176,2,-1,woman,-1.4,0.199999999999999,5.8,-1,1,8.2
33703379,1,-1,woman,-2.6,-1.8,7.1,-3,-5,7.8
33703379,2,1,man,-3,-5,7.8,-2.6,-1.8,7.1
33703455,1,-1,woman,-4.6,-0.6,8.3,-0.6,-0.199999999999999,7.8
33703455,2,1,man,-0.6,-0.199999999999999,7.8,-4.6,-0.6,8.3
33706512,1,1,man,-3.8,0.6,8.6,-0.6,1,8
33706512,2,-1,woman,-0.6,1,8,-3.8,0.6,8.6
33711537,1,1,man,-2.6,-3.4,8.6,-0.199999999999999,-2.6,8.5
33711537,2,-1,woman,-0.199999999999999,-2.6,8.5,-2.6,-3.4,8.6
33711907,1,-1,woman,-2.2,-1,8.3,-2.6,-1,9
33711907,2,1,man,-2.6,-1,9,-2.2,-1,8.3
33718812,1,1,man,-3.4,2.2,NA,0.199999999999999,1.4,9
33718812,2,-1,woman,0.199999999999999,1.4,9,-3.4,2.2,NA
33728504,1,-1,woman,-3.8,-5,8.2,NA,NA,NA
33728504,2,1,man,NA,NA,NA,-3.8,-5,8.2
33732206,1,-1,woman,NA,NA,5.4,NA,NA,5.3
33732206,2,1,man,NA,NA,5.3,NA,NA,5.4
33735326,1,-1,woman,-0.199999999999999,-1.8,6.7,3.4,2.6,6.5
33735326,2,1,man,3.4,2.6,6.5,-0.199999999999999,-1.8,6.7
33735733,1,1,man,-0.6,0.6,6.9,NA,NA,2.5
33735733,2,-1,woman,NA,NA,2.5,-0.6,0.6,6.9
