"Dyad_ID","partnum","X_A","self_object_appearance_A","self_object_ability_A","other_object_appearance_A","other_object_ability_A","self_object.tavg_A","other_object.tavg_A","relation_qual.avg_A","X_P","self_object_appearance_P","self_object_ability_P","other_object_appearance_P","other_object_ability_P","self_object.tavg_P","other_object.tavg_P","relation_qual.avg_P"
"29648648",1,217,4.4,6.6,6.2,4.8,2.2,-1.4,5,218,4.2,6.8,5.2,5.8,2.6,0.6,5.1
"29648648",2,218,4.2,6.8,5.2,5.8,2.6,0.6,5.1,217,4.4,6.6,6.2,4.8,2.2,-1.4,5
"29650679",1,219,5.4,5.6,5.6,5.4,0.199999999999999,-0.199999999999999,8.2,220,5.4,5.6,4.8,6.2,0.199999999999999,1.4,8.2
"29650679",2,220,5.4,5.6,4.8,6.2,0.199999999999999,1.4,8.2,219,5.4,5.6,5.6,5.4,0.199999999999999,-0.199999999999999,8.2
"29655905",1,221,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.8,222,5.4,5.6,5.4,5.6,0.199999999999999,0.199999999999999,8.4
"29655905",2,222,5.4,5.6,5.4,5.6,0.199999999999999,0.199999999999999,8.4,221,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.8
"29670187",1,223,6.8,4.2,4.8,6.2,-2.6,1.4,8.4,224,4.2,6.8,6.4,4.6,2.6,-1.8,9
"29670187",2,224,4.2,6.8,6.4,4.6,2.6,-1.8,9,223,6.8,4.2,4.8,6.2,-2.6,1.4,8.4
"29675494",1,225,6.8,4.2,6.8,4.2,-2.6,-2.6,6.1,226,7.8,3.2,8,3,-4.6,-5,6.4
"29675494",2,226,7.8,3.2,8,3,-4.6,-5,6.4,225,6.8,4.2,6.8,4.2,-2.6,-2.6,6.1
"29676367",1,227,5,6,5.6,5.4,1,-0.199999999999999,8.6,228,5.4,5.6,4,7,0.199999999999999,3,8.6
"29676367",2,228,5.4,5.6,4,7,0.199999999999999,3,8.6,227,5,6,5.6,5.4,1,-0.199999999999999,8.6
"29679706",1,229,5.6,5.4,4.6,6.4,-0.199999999999999,1.8,1.7,230,6.8,4.2,6.8,4.2,-2.6,-2.6,1
"29679706",2,230,6.8,4.2,6.8,4.2,-2.6,-2.6,1,229,5.6,5.4,4.6,6.4,-0.199999999999999,1.8,1.7
"29711478",1,231,6.8,4.2,5.8,5.2,-2.6,-0.6,8,232,6.4,4.6,5.4,5.6,-1.8,0.199999999999999,8.1
"29711478",2,232,6.4,4.6,5.4,5.6,-1.8,0.199999999999999,8.1,231,6.8,4.2,5.8,5.2,-2.6,-0.6,8
"29725014",1,233,4.8,6.2,7.6,3.4,1.4,-4.2,8.2,234,4.8,6.2,6.6,4.4,1.4,-2.2,7.8
"29725014",2,234,4.8,6.2,6.6,4.4,1.4,-2.2,7.8,233,4.8,6.2,7.6,3.4,1.4,-4.2,8.2
"29725200",1,235,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,7.2,236,6.6,4.4,6.6,4.4,-2.2,-2.2,5
"29725200",2,236,6.6,4.4,6.6,4.4,-2.2,-2.2,5,235,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,7.2
"29727375",1,237,5,6,5.8,5.2,1,-0.6,7.2,238,6.2,4.8,6.6,4.4,-1.4,-2.2,7.9
"29727375",2,238,6.2,4.8,6.6,4.4,-1.4,-2.2,7.9,237,5,6,5.8,5.2,1,-0.6,7.2
"29733249",1,239,6.6,4.4,6.8,4.2,-2.2,-2.6,6.7,240,6.6,4.4,5.4,5.6,-2.2,0.199999999999999,6.6
"29733249",2,240,6.6,4.4,5.4,5.6,-2.2,0.199999999999999,6.6,239,6.6,4.4,6.8,4.2,-2.2,-2.6,6.7
"29733973",1,241,8,3,5.2,5.8,-5,0.6,6.5,242,5.8,5.2,7.4,3.6,-0.6,-3.8,7.9
"29733973",2,242,5.8,5.2,7.4,3.6,-0.6,-3.8,7.9,241,8,3,5.2,5.8,-5,0.6,6.5
"29736251",1,243,5.6,5.4,5.8,5.2,-0.199999999999999,-0.6,5.8,244,5,6,6,5,1,-1,7
"29736251",2,244,5,6,6,5,1,-1,7,243,5.6,5.4,5.8,5.2,-0.199999999999999,-0.6,5.8
"29751672",1,245,7,4,5,6,-3,1,6.8,246,6.4,4.6,6,5,-1.8,-1,
"29751672",2,246,6.4,4.6,6,5,-1.8,-1,,245,7,4,5,6,-3,1,6.8
"29752580",1,247,7.2,3.8,3.6,7.4,-3.4,3.8,5.8,248,5.4,5.6,6.8,4.2,0.199999999999999,-2.6,7
"29752580",2,248,5.4,5.6,6.8,4.2,0.199999999999999,-2.6,7,247,7.2,3.8,3.6,7.4,-3.4,3.8,5.8
"29758869",1,249,7,4,7,4,-3,-3,8.2,250,6.8,4.2,5.6,5.4,-2.6,-0.199999999999999,7.9
"29758869",2,250,6.8,4.2,5.6,5.4,-2.6,-0.199999999999999,7.9,249,7,4,7,4,-3,-3,8.2
"29759818",1,251,5.2,5.8,6.8,4.2,0.6,-2.6,7,252,6.6,4.4,4.8,6.2,-2.2,1.4,7.8
"29759818",2,252,6.6,4.4,4.8,6.2,-2.2,1.4,7.8,251,5.2,5.8,6.8,4.2,0.6,-2.6,7
"29775425",1,253,4.2,6.8,3.6,7.4,2.6,3.8,7.1,254,6,5,6.6,4.4,-1,-2.2,6.9
"29775425",2,254,6,5,6.6,4.4,-1,-2.2,6.9,253,4.2,6.8,3.6,7.4,2.6,3.8,7.1
"29778230",1,255,7,4,7.2,3.8,-3,-3.4,8.1,256,7.4,3.6,4.8,6.2,-3.8,1.4,8.4
"29778230",2,256,7.4,3.6,4.8,6.2,-3.8,1.4,8.4,255,7,4,7.2,3.8,-3,-3.4,8.1
"29779946",1,257,6.4,4.6,6,5,-1.8,-1,8.8,258,7.2,3.8,5.2,5.8,-3.4,0.6,8.5
"29779946",2,258,7.2,3.8,5.2,5.8,-3.4,0.6,8.5,257,6.4,4.6,6,5,-1.8,-1,8.8
"29793807",1,259,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,8.8,260,6.6,4.4,5.6,5.4,-2.2,-0.199999999999999,
"29793807",2,260,6.6,4.4,5.6,5.4,-2.2,-0.199999999999999,,259,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,8.8
"29795327",1,261,6.6,4.4,5.2,5.8,-2.2,0.6,6,262,7.2,3.8,6,5,-3.4,-1,8.1
"29795327",2,262,7.2,3.8,6,5,-3.4,-1,8.1,261,6.6,4.4,5.2,5.8,-2.2,0.6,6
"29802428",1,263,5.2,5.8,7,4,0.6,-3,8.9,264,7.8,3.2,7.2,3.8,-4.6,-3.4,9
"29802428",2,264,7.8,3.2,7.2,3.8,-4.6,-3.4,9,263,5.2,5.8,7,4,0.6,-3,8.9
"29811081",1,265,4,7,4.2,6.8,3,2.6,9,266,4.8,6.2,3,8,1.4,5,9
"29811081",2,266,4.8,6.2,3,8,1.4,5,9,265,4,7,4.2,6.8,3,2.6,9
"31142588",1,267,6,5,4.6,6.4,-1,1.8,9,268,7.6,3.4,6,5,-4.2,-1,9
"31142588",2,268,7.6,3.4,6,5,-4.2,-1,9,267,6,5,4.6,6.4,-1,1.8,9
"31232445",1,269,5.8,5.2,5.2,5.8,-0.6,0.6,8.2,270,6.2,4.8,6.4,4.6,-1.4,-1.8,1.4
"31232445",2,270,6.2,4.8,6.4,4.6,-1.4,-1.8,1.4,269,5.8,5.2,5.2,5.8,-0.6,0.6,8.2
"31256405",1,271,6.4,4.6,5.8,5.2,-1.8,-0.6,5.8,272,7.2,3.8,7.4,3.6,-3.4,-3.8,3.6
"31256405",2,272,7.2,3.8,7.4,3.6,-3.4,-3.8,3.6,271,6.4,4.6,5.8,5.2,-1.8,-0.6,5.8
"31423023",1,273,6.4,4.6,5.2,5.8,-1.8,0.6,8.1,274,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.6
"31423023",2,274,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.6,273,6.4,4.6,5.2,5.8,-1.8,0.6,8.1
"31455950",1,275,7.8,3.2,6.2,4.8,-4.6,-1.4,8.8,276,5.6,5.4,5,6,-0.199999999999999,1,8.8
"31455950",2,276,5.6,5.4,5,6,-0.199999999999999,1,8.8,275,7.8,3.2,6.2,4.8,-4.6,-1.4,8.8
"31471311",1,277,7.2,3.8,6,5,-3.4,-1,6.7,278,4.4,6.6,5.2,5.8,2.2,0.6,7
"31471311",2,278,4.4,6.6,5.2,5.8,2.2,0.6,7,277,7.2,3.8,6,5,-3.4,-1,6.7
"31635308",1,279,5,6,5.2,5.8,1,0.6,8.6,280,6.4,4.6,5.4,5.6,-1.8,0.199999999999999,9
"31635308",2,280,6.4,4.6,5.4,5.6,-1.8,0.199999999999999,9,279,5,6,5.2,5.8,1,0.6,8.6
"31764329",1,281,4.6,6.4,6,5,1.8,-1,6.8,282,6,5,6.2,4.8,-1,-1.4,
"31764329",2,282,6,5,6.2,4.8,-1,-1.4,,281,4.6,6.4,6,5,1.8,-1,6.8
"31822775",1,283,4.4,6.6,,,2.2,,6.1,284,,,5.2,5.8,,0.6,7.8
"31822775",2,284,,,5.2,5.8,,0.6,7.8,283,4.4,6.6,,,2.2,,6.1
"31848482",1,285,6.4,4.6,5.6,5.4,-1.8,-0.199999999999999,7.5,286,4.8,6.2,6.2,4.8,1.4,-1.4,7.2
"31848482",2,286,4.8,6.2,6.2,4.8,1.4,-1.4,7.2,285,6.4,4.6,5.6,5.4,-1.8,-0.199999999999999,7.5
"31904581",1,287,5.8,5.2,6.4,4.6,-0.6,-1.8,7.5,288,5.6,5.4,6.4,4.6,-0.199999999999999,-1.8,7.4
"31904581",2,288,5.6,5.4,6.4,4.6,-0.199999999999999,-1.8,7.4,287,5.8,5.2,6.4,4.6,-0.6,-1.8,7.5
"32021977",1,289,5.4,5.6,5.8,5.2,0.199999999999999,-0.6,7.9,290,7,4,,,-3,,8.7
"32021977",2,290,7,4,,,-3,,8.7,289,5.4,5.6,5.8,5.2,0.199999999999999,-0.6,7.9
"32048295",1,291,3,8,6.4,4.6,5,-1.8,,292,7.2,3.8,5.8,5.2,-3.4,-0.6,7
"32048295",2,292,7.2,3.8,5.8,5.2,-3.4,-0.6,7,291,3,8,6.4,4.6,5,-1.8,
"32134573",1,293,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8,294,6.4,4.6,5.4,5.6,-1.8,0.199999999999999,8.4
"32134573",2,294,6.4,4.6,5.4,5.6,-1.8,0.199999999999999,8.4,293,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8
"32166157",1,295,7.6,3.4,6.8,4.2,-4.2,-2.6,8.2,296,6.8,4.2,3.8,7.2,-2.6,3.4,7.8
"32166157",2,296,6.8,4.2,3.8,7.2,-2.6,3.4,7.8,295,7.6,3.4,6.8,4.2,-4.2,-2.6,8.2
"32585631",1,297,7.8,3.2,5.2,5.8,-4.6,0.6,8.5,298,,,,,,,8.3
"32585631",2,298,,,,,,,8.3,297,7.8,3.2,5.2,5.8,-4.6,0.6,8.5
"32837451",1,299,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8.1,300,4.8,6.2,6.8,4.2,1.4,-2.6,8.4
"32837451",2,300,4.8,6.2,6.8,4.2,1.4,-2.6,8.4,299,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8.1
"32850525",1,301,4.8,6.2,6.6,4.4,1.4,-2.2,3.2,302,4.6,6.4,4.8,6.2,1.8,1.4,4.2
"32850525",2,302,4.6,6.4,4.8,6.2,1.8,1.4,4.2,301,4.8,6.2,6.6,4.4,1.4,-2.2,3.2
"32893460",1,303,8,3,7.4,3.6,-5,-3.8,2.2,304,4.4,6.6,7.6,3.4,2.2,-4.2,1.6
"32893460",2,304,4.4,6.6,7.6,3.4,2.2,-4.2,1.6,303,8,3,7.4,3.6,-5,-3.8,2.2
"32939460",1,305,4.6,6.4,7.2,3.8,1.8,-3.4,8.7,306,5.8,5.2,5.2,5.8,-0.6,0.6,8.7
"32939460",2,306,5.8,5.2,5.2,5.8,-0.6,0.6,8.7,305,4.6,6.4,7.2,3.8,1.8,-3.4,8.7
"32997534",1,307,8,3,7.6,3.4,-5,-4.2,6.1,308,5.8,5.2,5,6,-0.6,1,2.9
"32997534",2,308,5.8,5.2,5,6,-0.6,1,2.9,307,8,3,7.6,3.4,-5,-4.2,6.1
"33046177",1,309,7,4,7.2,3.8,-3,-3.4,9,310,5.4,5.6,5.6,5.4,0.199999999999999,-0.199999999999999,8.7
"33046177",2,310,5.4,5.6,5.6,5.4,0.199999999999999,-0.199999999999999,8.7,309,7,4,7.2,3.8,-3,-3.4,9
"33094797",1,311,,,,,,,6.3,312,,,,,,,6.9
"33094797",2,312,,,,,,,6.9,311,,,,,,,6.3
"33170169",1,313,6.4,4.6,5,6,-1.8,1,7.7,314,6.2,4.8,,,-1.4,,8.2
"33170169",2,314,6.2,4.8,,,-1.4,,8.2,313,6.4,4.6,5,6,-1.8,1,7.7
"33257597",1,315,4.8,6.2,7.2,3.8,1.4,-3.4,5.5,316,5.2,5.8,5.6,5.4,0.6,-0.199999999999999,6.7
"33257597",2,316,5.2,5.8,5.6,5.4,0.6,-0.199999999999999,6.7,315,4.8,6.2,7.2,3.8,1.4,-3.4,5.5
"33275392",1,317,5.8,5.2,6.6,4.4,-0.6,-2.2,8.3,318,5.8,5.2,5.6,5.4,-0.6,-0.199999999999999,8.7
"33275392",2,318,5.8,5.2,5.6,5.4,-0.6,-0.199999999999999,8.7,317,5.8,5.2,6.6,4.4,-0.6,-2.2,8.3
"33303114",1,319,6.2,4.8,6.2,4.8,-1.4,-1.4,4.9,320,5.6,5.4,3.6,7.4,-0.199999999999999,3.8,5.9
"33303114",2,320,5.6,5.4,3.6,7.4,-0.199999999999999,3.8,5.9,319,6.2,4.8,6.2,4.8,-1.4,-1.4,4.9
"33315985",1,321,8,3,7.2,3.8,-5,-3.4,7.3,322,7.8,3.2,7.6,3.4,-4.6,-4.2,8.1
"33315985",2,322,7.8,3.2,7.6,3.4,-4.6,-4.2,8.1,321,8,3,7.2,3.8,-5,-3.4,7.3
"33363405",1,323,,,,,,,9,324,,,,,,,9
"33363405",2,324,,,,,,,9,323,,,,,,,9
"33548752",1,325,6.6,4.4,5.2,5.8,-2.2,0.6,6.8,326,6,5,5.2,5.8,-1,0.6,7.8
"33548752",2,326,6,5,5.2,5.8,-1,0.6,7.8,325,6.6,4.4,5.2,5.8,-2.2,0.6,6.8
"33559952",1,327,5.4,5.6,5.2,5.8,0.199999999999999,0.6,7.8,328,4.2,6.8,6,5,2.6,-1,7.4
"33559952",2,328,4.2,6.8,6,5,2.6,-1,7.4,327,5.4,5.6,5.2,5.8,0.199999999999999,0.6,7.8
"33604743",1,329,6.8,4.2,6,5,-2.6,-1,6.5,330,6.2,4.8,6.8,4.2,-1.4,-2.6,8.3
"33604743",2,330,6.2,4.8,6.8,4.2,-1.4,-2.6,8.3,329,6.8,4.2,6,5,-2.6,-1,6.5
"33642604",1,331,4.8,6.2,6.8,4.2,1.4,-2.6,7.7,332,6.2,4.8,3.8,7.2,-1.4,3.4,7.4
"33642604",2,332,6.2,4.8,3.8,7.2,-1.4,3.4,7.4,331,4.8,6.2,6.8,4.2,1.4,-2.6,7.7
"33666277",1,333,4.8,6.2,3.8,7.2,1.4,3.4,7,334,7.2,3.8,5,6,-3.4,1,8.6
"33666277",2,334,7.2,3.8,5,6,-3.4,1,8.6,333,4.8,6.2,3.8,7.2,1.4,3.4,7
"33672471",1,335,6,5,6,5,-1,-1,7.9,336,6,5,,,-1,,
"33672471",2,336,6,5,,,-1,,,335,6,5,6,5,-1,-1,7.9
"33676931",1,337,7.6,3.4,8,3,-4.2,-5,8.3,338,7.6,3.4,7.6,3.4,-4.2,-4.2,8.1
"33676931",2,338,7.6,3.4,7.6,3.4,-4.2,-4.2,8.1,337,7.6,3.4,8,3,-4.2,-5,8.3
"33694662",1,339,5,6,6.4,4.6,1,-1.8,7,340,6.2,4.8,7.2,3.8,-1.4,-3.4,6.1
"33694662",2,340,6.2,4.8,7.2,3.8,-1.4,-3.4,6.1,339,5,6,6.4,4.6,1,-1.8,7
"33696006",1,341,6.8,4.2,7,4,-2.6,-3,5.8,342,4.8,6.2,6.4,4.6,1.4,-1.8,5.5
"33696006",2,342,4.8,6.2,6.4,4.6,1.4,-1.8,5.5,341,6.8,4.2,7,4,-2.6,-3,5.8
"33701176",1,343,6,5,5,6,-1,1,8.2,344,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,5.8
"33701176",2,344,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,5.8,343,6,5,5,6,-1,1,8.2
"33703379",1,345,6.8,4.2,6.4,4.6,-2.6,-1.8,7.1,346,7,4,8,3,-3,-5,7.8
"33703379",2,346,7,4,8,3,-3,-5,7.8,345,6.8,4.2,6.4,4.6,-2.6,-1.8,7.1
"33703455",1,347,7.8,3.2,5.8,5.2,-4.6,-0.6,8.3,348,5.8,5.2,5.6,5.4,-0.6,-0.199999999999999,7.8
"33703455",2,348,5.8,5.2,5.6,5.4,-0.6,-0.199999999999999,7.8,347,7.8,3.2,5.8,5.2,-4.6,-0.6,8.3
"33706512",1,349,7.4,3.6,5.2,5.8,-3.8,0.6,8.6,350,5.8,5.2,5,6,-0.6,1,8
"33706512",2,350,5.8,5.2,5,6,-0.6,1,8,349,7.4,3.6,5.2,5.8,-3.8,0.6,8.6
"33711537",1,351,6.8,4.2,7.2,3.8,-2.6,-3.4,8.6,352,5.6,5.4,6.8,4.2,-0.199999999999999,-2.6,8.5
"33711537",2,352,5.6,5.4,6.8,4.2,-0.199999999999999,-2.6,8.5,351,6.8,4.2,7.2,3.8,-2.6,-3.4,8.6
"33711907",1,353,6.6,4.4,6,5,-2.2,-1,8.3,354,6.8,4.2,6,5,-2.6,-1,9
"33711907",2,354,6.8,4.2,6,5,-2.6,-1,9,353,6.6,4.4,6,5,-2.2,-1,8.3
"33718812",1,355,7.2,3.8,4.4,6.6,-3.4,2.2,,356,5.4,5.6,4.8,6.2,0.199999999999999,1.4,9
"33718812",2,356,5.4,5.6,4.8,6.2,0.199999999999999,1.4,9,355,7.2,3.8,4.4,6.6,-3.4,2.2,
"33728504",1,357,7.4,3.6,8,3,-3.8,-5,8.2,358,,,,,,,
"33728504",2,358,,,,,,,,357,7.4,3.6,8,3,-3.8,-5,8.2
"33732206",1,359,,,,,,,5.4,360,,,,,,,5.3
"33732206",2,360,,,,,,,5.3,359,,,,,,,5.4
"33735326",1,361,5.6,5.4,6.4,4.6,-0.199999999999999,-1.8,6.7,362,3.8,7.2,4.2,6.8,3.4,2.6,6.5
"33735326",2,362,3.8,7.2,4.2,6.8,3.4,2.6,6.5,361,5.6,5.4,6.4,4.6,-0.199999999999999,-1.8,6.7
"33735733",1,363,5.8,5.2,5.2,5.8,-0.6,0.6,6.9,364,,,,,,,2.5
"33735733",2,364,,,,,,,2.5,363,5.8,5.2,5.2,5.8,-0.6,0.6,6.9
