"","dyadID","gender","self_object_appearance","self_object_ability","other_object_appearance","other_object_ability","self_object.tavg","other_object.tavg","relation_qual.avg"
"219",29676367,-1,5,6,5.6,5.4,1,-0.199999999999999,8.6
"220",29676367,1,5.4,5.6,4,7,0.199999999999999,3,8.6
"221",29679706,1,5.6,5.4,4.6,6.4,-0.199999999999999,1.8,1.7
"222",29679706,-1,6.8,4.2,6.8,4.2,-2.6,-2.6,1
"223",29711478,1,6.8,4.2,5.8,5.2,-2.6,-0.6,8
"224",29711478,-1,6.4,4.6,5.4,5.6,-1.8,0.199999999999999,8.1
"225",29725014,-1,4.8,6.2,7.6,3.4,1.4,-4.2,8.2
"226",29725014,1,4.8,6.2,6.6,4.4,1.4,-2.2,7.8
"227",29725200,1,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,7.2
"228",29725200,-1,6.6,4.4,6.6,4.4,-2.2,-2.2,5
"229",29727375,-1,5,6,5.8,5.2,1,-0.6,7.2
"230",29727375,1,6.2,4.8,6.6,4.4,-1.4,-2.2,7.9
"231",29733249,-1,6.6,4.4,6.8,4.2,-2.2,-2.6,6.7
"232",29733249,1,6.6,4.4,5.4,5.6,-2.2,0.199999999999999,6.6
"233",29733973,1,8,3,5.2,5.8,-5,0.6,6.5
"234",29733973,-1,5.8,5.2,7.4,3.6,-0.6,-3.8,7.9
"235",29736251,1,5.6,5.4,5.8,5.2,-0.199999999999999,-0.6,5.8
"236",29736251,-1,5,6,6,5,1,-1,7
"237",29751672,-1,7,4,5,6,-3,1,6.8
"238",29751672,1,6.4,4.6,6,5,-1.8,-1,NA
"239",29752580,-1,7.2,3.8,3.6,7.4,-3.4,3.8,5.8
"240",29752580,1,5.4,5.6,6.8,4.2,0.199999999999999,-2.6,7
"241",29758869,-1,7,4,7,4,-3,-3,8.2
"242",29758869,1,6.8,4.2,5.6,5.4,-2.6,-0.199999999999999,7.9
"243",29759818,-1,5.2,5.8,6.8,4.2,0.6,-2.6,7
"244",29759818,1,6.6,4.4,4.8,6.2,-2.2,1.4,7.8
"245",29775425,1,4.2,6.8,3.6,7.4,2.6,3.8,7.1
"246",29775425,-1,6,5,6.6,4.4,-1,-2.2,6.9
"247",29778230,-1,7,4,7.2,3.8,-3,-3.4,8.1
"248",29778230,1,7.4,3.6,4.8,6.2,-3.8,1.4,8.4
"249",29779946,-1,6.4,4.6,6,5,-1.8,-1,8.8
"250",29779946,1,7.2,3.8,5.2,5.8,-3.4,0.6,8.5
"251",29793807,-1,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,8.8
"252",29793807,1,6.6,4.4,5.6,5.4,-2.2,-0.199999999999999,NA
"253",29795327,-1,6.6,4.4,5.2,5.8,-2.2,0.6,6
"254",29795327,1,7.2,3.8,6,5,-3.4,-1,8.1
"255",29802428,-1,5.2,5.8,7,4,0.6,-3,8.9
"256",29802428,1,7.8,3.2,7.2,3.8,-4.6,-3.4,9
"257",29811081,1,4,7,4.2,6.8,3,2.6,9
"258",29811081,-1,4.8,6.2,3,8,1.4,5,9
"259",31142588,1,6,5,4.6,6.4,-1,1.8,9
"260",31142588,-1,7.6,3.4,6,5,-4.2,-1,9
"261",31232445,-1,5.8,5.2,5.2,5.8,-0.6,0.6,8.2
"262",31232445,1,6.2,4.8,6.4,4.6,-1.4,-1.8,1.4
"263",31256405,1,6.4,4.6,5.8,5.2,-1.8,-0.6,5.8
"264",31256405,-1,7.2,3.8,7.4,3.6,-3.4,-3.8,3.6
"265",31423023,1,6.4,4.6,5.2,5.8,-1.8,0.6,8.1
"266",31423023,-1,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.6
"267",31455950,-1,7.8,3.2,6.2,4.8,-4.6,-1.4,8.8
"268",31455950,1,5.6,5.4,5,6,-0.199999999999999,1,8.8
"269",31471311,-1,7.2,3.8,6,5,-3.4,-1,6.7
"270",31471311,1,4.4,6.6,5.2,5.8,2.2,0.6,7
"271",31635308,-1,5,6,5.2,5.8,1,0.6,8.6
"272",31635308,1,6.4,4.6,5.4,5.6,-1.8,0.199999999999999,9
"273",31764329,1,4.6,6.4,6,5,1.8,-1,6.8
"274",31764329,-1,6,5,6.2,4.8,-1,-1.4,NA
"275",31822775,-1,4.4,6.6,NA,NA,2.2,NA,6.1
"276",31822775,1,NA,NA,5.2,5.8,NA,0.6,7.8
"277",31848482,-1,6.4,4.6,5.6,5.4,-1.8,-0.199999999999999,7.5
"278",31848482,1,4.8,6.2,6.2,4.8,1.4,-1.4,7.2
"279",31904581,-1,5.8,5.2,6.4,4.6,-0.6,-1.8,7.5
"280",31904581,1,5.6,5.4,6.4,4.6,-0.199999999999999,-1.8,7.4
"281",32021977,1,5.4,5.6,5.8,5.2,0.199999999999999,-0.6,7.9
"282",32021977,-1,7,4,NA,NA,-3,NA,8.7
"283",32048295,-1,3,8,6.4,4.6,5,-1.8,NA
"284",32048295,1,7.2,3.8,5.8,5.2,-3.4,-0.6,7
"285",32134573,-1,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8
"286",32134573,1,6.4,4.6,5.4,5.6,-1.8,0.199999999999999,8.4
"287",32166157,-1,7.6,3.4,6.8,4.2,-4.2,-2.6,8.2
"288",32166157,1,6.8,4.2,3.8,7.2,-2.6,3.4,7.8
"289",32585631,1,7.8,3.2,5.2,5.8,-4.6,0.6,8.5
"290",32585631,-1,NA,NA,NA,NA,NA,NA,8.3
"291",32837451,-1,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8.1
"292",32837451,1,4.8,6.2,6.8,4.2,1.4,-2.6,8.4
"293",32893460,-1,8,3,7.4,3.6,-5,-3.8,2.2
"294",32893460,1,4.4,6.6,7.6,3.4,2.2,-4.2,1.6
"295",32939460,-1,4.6,6.4,7.2,3.8,1.8,-3.4,8.7
"296",32939460,1,5.8,5.2,5.2,5.8,-0.6,0.6,8.7
"297",32997534,-1,8,3,7.6,3.4,-5,-4.2,6.1
"298",32997534,1,5.8,5.2,5,6,-0.6,1,2.9
"299",33046177,-1,7,4,7.2,3.8,-3,-3.4,9
"300",33046177,1,5.4,5.6,5.6,5.4,0.199999999999999,-0.199999999999999,8.7
"301",33094797,1,NA,NA,NA,NA,NA,NA,6.3
"302",33094797,-1,NA,NA,NA,NA,NA,NA,6.9
"303",33170169,1,6.4,4.6,5,6,-1.8,1,7.7
"304",33170169,-1,6.2,4.8,NA,NA,-1.4,NA,8.2
"305",33257597,-1,4.8,6.2,7.2,3.8,1.4,-3.4,5.5
"306",33257597,1,5.2,5.8,5.6,5.4,0.6,-0.199999999999999,6.7
"307",33275392,-1,5.8,5.2,6.6,4.4,-0.6,-2.2,8.3
